Rank,Crypto_Name,Crypto_Symbol,Crypto_MarketCap,Crypto_Price,Crypto_CirculatingSupply
121,0x,ZRX,"$615,270,374.71",$0.726,"847,496,055 ZRX *"
122,Telcoin,TEL,"$591,946,943.70",$0.01026,"57,682,110,195 TEL *"
123,Synthetix,SNX,"$586,697,846.77",$5.11,"114,841,533 SNX *"
124,UMA,UMA,"$584,950,206.66",$9.00,"64,999,920 UMA *"
125,Syscoin,SYS,"$576,059,672.96",$0.9183,"627,339,147 SYS"
126,Nervos Network,CKB,"$564,113,034.97",$0.01923,"29,331,764,141 CKB *"
127,WOO Network,WOO,"$550,456,478.91",$0.9585,"574,262,536 WOO *"
128,Storj,STORJ,"$547,494,018.07",$1.55,"352,509,679 STORJ *"
129,SwissBorg,CHSB,"$543,997,485.52",$0.544,"1,000,000,000 CHSB *"
130,SKALE Network,SKL,"$541,282,521.99",$0.1701,"3,182,311,004 SKL *"
131,Ontology,ONT,"$534,230,745.00",$0.6104,"875,249,524 ONT *"
132,Neutrino USD,USDN,"$533,338,329.25",$0.9859,"540,956,757 USDN *"
133,Hive,HIVE,"$518,499,197.63",$1.33,"388,403,613 HIVE *"
134,IOST,IOST,"$519,282,761.86",$0.02869,"18,099,719,631 IOST *"
135,GateToken,GT,"$489,796,935.48",$6.27,"78,142,038 GT *"
136,Ren,REN,"$462,729,223.70",$0.4638,"997,764,051 REN *"
137,Ocean Protocol,OCEAN,"$453,832,266.09",$0.7402,"613,099,141 OCEAN *"
138,dYdX,DYDX,"$441,316,909.50",$6.73,"65,569,295 DYDX *"
139,NuCypher,NU,"$443,692,497.33",$0.6311,"703,000,000 NU *"
140,Polymath,POLY,"$441,342,964.45",$0.4912,"898,550,830 POLY *"
141,Moonriver,MOVR,"$438,875,257.83",$160.24,"2,738,790 MOVR *"
142,Raydium,RAY,"$433,080,536.26",$5.36,"80,827,807 RAY *"
143,DigiByte,DGB,"$430,127,544.06",$0.02868,"14,997,093,032 DGB"
144,Golem,GLM,"$428,198,524.53",$0.4282,"1,000,000,000 GLM *"
145,Fei USD,FEI,"$421,324,488.69",$0.9914,"424,996,178 FEI *"
146,Celer Network,CELR,"$415,868,444.54",$0.06781,"6,133,211,958 CELR *"
147,Serum,SRM,"$403,974,952.67",$3.03,"133,231,781 SRM *"
148,Nano,XNO,"$400,394,651.87",$3.00,"133,248,297 XNO *"
149,Chromia,CHR,"$403,261,434.10",$0.7108,"567,369,439 CHR *"
150,CEEK VR,CEEK,"$400,561,610.22",$0.5383,"744,176,729 CEEK *"
151,XYO,XYO,"$375,157,642.13",$0.02921,"12,844,821,266 XYO *"
152,WINkLink,WIN,"$364,991,852.15",$0.0003795,"961,737,300,000 WIN *"
153,Casper,CSPR,"$362,942,766.57",$0.1195,"3,038,105,745 CSPR *"
154,JUST,JST,"$361,151,170.32",$0.04947,"7,300,425,000 JST *"
155,OriginTrail,TRAC,"$359,242,213.38",$0.9871,"363,953,832 TRAC *"
156,Ultra,UOS,"$352,404,651.51",$1.25,"282,756,070 UOS *"
157,DigitalBits,XDB,"$352,841,467.41",$0.4034,"874,608,082 XDB *"
158,Fetch.ai,FET,"$347,717,070.63",$0.466,"746,113,681 FET *"
159,Phantasma,SOUL,"$340,166,298.39",$3.30,"103,158,489 SOUL *"
160,MyNeighborAlice,ALICE,"$337,003,965.09",$11.01,"30,600,000 ALICE *"
161,Reserve Rights,RSR,"$335,103,463.33",$0.02546,"13,159,997,677 RSR *"
162,WazirX,WRX,"$334,643,793.56",$1.03,"325,056,864 WRX *"
163,Dent,DENT,"$325,204,601.32",$0.003285,"99,007,791,203 DENT *"
164,PAX Gold,PAXG,"$324,224,301.85","$1,798.56","180,269 PAXG *"
165,Aragon,ANT,"$324,448,091.84",$8.19,"39,609,523 ANT *"
166,Function X,FX,"$318,220,834.36",$0.779,"408,520,357 FX *"
167,Biconomy,BICO,"$316,506,411.27",$3.67,"86,152,354 BICO *"
168,Swipe,SXP,"$300,363,373.10",$1.56,"192,768,789 SXP *"
169,Request,REQ,"$298,125,388.10",$0.2982,"999,877,116 REQ *"
170,Powerledger,POWR,"$299,890,386.23",$0.6466,"463,786,097 POWR *"
171,Injective,INJ,"$295,066,629.94",$6.76,"43,653,971 INJ *"
172,COTI,COTI,"$291,056,181.23",$0.3351,"868,672,118 COTI *"
173,Cartesi,CTSI,"$287,553,791.11",$0.5867,"490,133,731 CTSI *"
174,MediBloc,MED,"$267,577,284.54",$0.04971,"5,382,401,140 MED *"
175,Lisk,LSK,"$265,496,452.33",$2.06,"128,900,445 LSK *"
176,Mdex,MDX,"$265,412,538.60",$0.3211,"826,541,123 MDX *"
177,Dusk Network,DUSK,"$258,062,756.88",$0.6626,"389,445,429 DUSK *"
178,Dvision Network,DVI,"$251,401,832.46",$0.8598,"292,396,290 DVI *"
179,Constellation,DAG,"$250,331,990.38",$0.1976,"1,266,911,931 DAG *"
180,Reef,REEF,"$247,270,644.82",$0.01411,"17,530,705,935 REEF *"
181,Alpha Finance Lab,ALPHA,"$244,496,610.23",$0.5478,"446,330,126 ALPHA *"
182,Bitcoin Standard Hashrate Token,BTCST,"$239,448,306.39",$20.98,"11,415,813 BTCST *"
183,VeThor Token,VTHO,"$236,803,299.77",$0.005345,"44,304,309,251 VTHO *"
184,Conflux,CFX,"$235,657,112.83",$0.1827,"1,289,569,584 CFX"
185,aelf,ELF,"$238,790,877.55",$0.4386,"544,480,200 ELF *"
186,Energy Web Token,EWT,"$235,540,904.58",$7.84,"30,062,138 EWT *"
187,Verge,XVG,"$231,625,361.64",$0.01404,"16,492,383,288 XVG"
188,iExec RLC,RLC,"$229,915,240.89",$2.87,"80,070,793 RLC *"
189,Bitcoin Diamond,BCD,"$227,478,740.89",$1.22,"186,492,898 BCD"
190,Orchid,OXT,"$218,544,300.64",$0.3164,"690,690,084 OXT *"
191,Ardor,ARDR,"$217,779,133.37",$0.218,"998,999,495 ARDR *"
192,Civic,CVC,"$215,758,296.18",$0.322,"670,000,000 CVC *"
193,NKN,NKN,"$212,639,328.03",$0.3038,"700,000,000 NKN"
194,Keep3rV1,KP3R,"$212,802,224.89","$1,064.01","200,001 KP3R *"
195,ASD,ASD,"$210,508,958.68",$0.3187,"660,615,274 ASD *"
196,Status,SNT,"$207,399,897.62",$0.05976,"3,470,483,788 SNT *"
197,Polkastarter,POLS,"$205,317,703.27",$2.33,"88,221,432 POLS *"
198,Origin Protocol,OGN,"$204,933,795.55",$0.5274,"388,570,733 OGN *"
199,Unibright,UBT,"$200,048,582.73",$1.33,"149,999,999 UBT *"
200,Sun (New),SUN,"$199,942,491.09",$0.01902,"10,514,908,025 SUN *"
201,HEX,HEX,"$42,302,931,232.48",$0.2439,"173,411,074,413 HEX *"
202,Lido stETH,STETH,"$5,272,203,931.08","$3,146.07","1,675,804 STETH *"
203,Toncoin,TONCOIN,"$3,382,493,974.53",$2.77,"1,221,401,181 TONCOIN *"
204,Wrapped BNB,WBNB,"$2,396,455,701.81",$437.06,"5,483,187 WBNB *"
205,Frax,FRAX,"$1,922,891,373.80",$0.9986,"1,925,625,294 FRAX *"
206,Convex Finance,CVX,"$1,770,650,180.30",$38.93,"45,485,813 CVX *"
207,Huobi BTC,HBTC,"$1,678,369,077.92","$42,081.18","39,884 HBTC *"
208,Spell Token,SPELL,"$1,199,143,428.27",$0.01499,"79,993,000,942 SPELL *"
209,yOUcash,YOUC,"$1,181,601,672.11",$0.1733,"6,816,734,542 YOUC *"
210,SafeMoon,SAFEMOON,"$1,162,136,089.11",$0.000001985,"585,536,366,402,812 SAFEMOON *"
211,BitDAO,BIT,"$1,092,679,271.77",$1.86,"586,278,943 BIT *"
212,Symbol,XYM,"$1,029,445,140.45",$0.1844,"5,582,460,005 XYM *"
214,ECOMI,OMI,"$891,570,664.69",$0.005362,"166,285,821,196 OMI *"
215,LINK,LN,"$814,403,015.75",$136.28,"5,975,799 LN *"
216,Counos X,CCXX,"$803,933,551.75",$45.00,"17,864,458 CCXX"
217,DeFiChain,DFI,"$794,415,568.58",$2.64,"300,511,840 DFI *"
218,Render Token,RNDR,"$748,802,633.64",$3.76,"199,104,756 RNDR *"
219,Liquity USD,LUSD,"$720,185,540.47",$1.00,"719,446,095 LUSD *"
220,NXM,NXM,"$698,004,555.98",$105.57,"6,611,522 NXM *"
221,WEMIX,WEMIX,"$698,041,982.12",$5.66,"123,233,682 WEMIX *"
222,MobileCoin,MOB,"$686,901,949.44",$9.26,"74,218,324 MOB *"
223,Decentralized Social,DESO,"$670,092,700.35",$75.42,"8,884,536 DESO *"
224,Rally,RLY,"$657,071,153.05",$0.286,"2,297,087,496 RLY *"
225,KOK,KOK,"$597,092,744.37",$5.56,"107,333,422 KOK *"
226,The Transfer Token,TTT,"$595,396,677.03",$5.68,"104,789,399 TTT *"
227,Frax Share,FXS,"$586,788,169.60",$36.20,"16,209,405 FXS *"
228,Ethereum Name Service,ENS,"$567,182,715.16",$28.02,"20,244,862 ENS *"
229,Metahero,HERO,"$552,026,063.08",$0.1083,"5,095,643,290 HERO *"
230,Anchor Protocol,ANC,"$522,028,854.28",$2.70,"193,382,935 ANC *"
231,Illuvium,ILV,"$512,488,760.70",$797.16,"642,892 ILV *"
232,WhiteCoin,XWC,"$490,956,430.71",$0.6597,"744,201,249 XWC *"
233,Radio Caca,RACA,"$467,140,222.02",$0.002569,"181,850,767,347 RACA *"
234,UFO Gaming,UFO,"$461,219,016.94",$0.00001791,"25,757,575,757,576 UFO *"
235,HUSD,HUSD,"$426,583,540.90",$0.9996,"426,743,787 HUSD *"
236,Coin98,C98,"$424,829,105.93",$2.30,"185,000,000 C98 *"
237,Boba Network,BOBA,"$420,689,153.81",$2.66,"158,303,171 BOBA *"
238,SuperFarm,SUPER,"$408,734,418.49",$1.02,"402,410,904 SUPER *"
239,OpenDAO,SOS,"$401,379,672.42",$0.000004394,"91,355,936,155,823 SOS *"
240,Alitas,ALT,"$398,276,249.70",$6.64,"60,000,000 ALT *"
241,MetisDAO,METIS,"$397,613,348.63",$194.42,"2,045,108 METIS *"
242,Yield Guild Games,YGG,"$394,638,629.51",$4.83,"81,755,660 YGG *"
243,Tribe,TRIBE,"$384,633,491.00",$0.8482,"453,448,622 TRIBE *"
244,Keep Network,KEEP,"$377,980,034.67",$0.6206,"609,032,138 KEEP *"
245,Rocket Pool,RPL,"$375,802,744.04",$36.56,"10,279,742 RPL *"
246,PlayDapp,PLA,"$353,864,992.92",$1.17,"302,211,852 PLA *"
247,Bloktopia,BLOK,"$347,764,403.42",$0.0417,"8,338,704,276 BLOK *"
248,Bitpanda Ecosystem Token,BEST,"$342,819,786.35",$0.9495,"361,063,664 BEST *"
249,JasmyCoin,JASMY,"$341,651,718.69",$0.07185,"4,754,930,780 JASMY *"
250,Veritaseum,VERI,"$332,449,380.64",$154.65,"2,149,646 VERI *"
251,Persistence,XPRT,"$328,766,309.58",$4.49,"73,204,733 XPRT *"
252,MOBOX,MBOX,"$316,319,531.24",$3.96,"79,853,076 MBOX *"
253,Anyswap,ANY,"$313,575,756.50",$16.82,"18,639,320 ANY *"
254,Hathor,HTR,"$307,976,684.80",$1.37,"225,064,056 HTR *"
255,Rari Governance Token,RGT,"$289,039,292.98",$23.82,"12,135,179 RGT *"
256,Everscale,EVER,"$281,393,474.72",$0.3827,"735,353,906 EVER *"
257,Braintrust,BTRST,"$279,251,433.50",$3.20,"87,348,518 BTRST *"
258,DAO Maker,DAO,"$280,046,548.55",$4.44,"63,125,749 DAO *"
259,Mask Network,MASK,"$280,213,457.40",$9.62,"29,130,723 MASK *"
260,Origin Dollar,OUSD,"$278,258,804.14",$0.9983,"278,744,741 OUSD *"
261,Orbit Chain,ORC,"$276,407,260.33",$0.4723,"585,198,076 ORC *"
262,Alchemix,ALCX,"$273,155,268.34",$285.21,"957,728 ALCX *"
263,Vulcan Forged PYR,PYR,"$259,412,614.21",$13.04,"19,897,700 PYR *"
264,Starlink,STARL,"$258,995,670.56",$0.00002595,"9,979,172,029,858 STARL *"
265,RMRK,RMRK,"$255,105,473.01",$26.85,"9,500,000 RMRK *"
266,Kyber Network Crystal v2,KNC,"$252,562,192.21",$1.42,"177,809,350 KNC *"
267,Chia Network,XCH,"$251,123,101.95",$89.76,"2,797,853 XCH *"
268,HedgeTrade,HEDG,"$247,192,230.35",$0.7088,"348,731,468 HEDG *"
269,Alchemy Pay,ACH,"$247,655,171.18",$0.06464,"3,831,091,200 ACH *"
270,Akash Network,AKT,"$247,437,164.42",$2.17,"113,861,304 AKT *"
271,GlitzKoin,GTN,"$242,765,481.17",$0.9809,"247,499,428 GTN *"
272,Pundi X (New),PUNDIX,"$235,480,889.63",$0.911,"258,491,637 PUNDIX *"
273,LUKSO,LYXe,"$235,157,784.96",$15.46,"15,205,916 LYXe *"
274,PlatON,LAT,"$232,819,047.03",$0.1017,"2,289,651,880 LAT *"
275,JOE,JOE,"$229,864,668.99",$1.50,"152,828,151 JOE *"
276,YooShi,YOOSHI,"$228,897,792.56",$0.0000006101,"375,166,950,143,698 YOOSHI *"
277,Humanscape,HUM,"$225,784,336.90",$0.3174,"711,409,623 HUM *"
278,Sapphire,SAPP,"$229,248,263.14",$0.4265,"537,572,916 SAPP *"
279,Radicle,RAD,"$222,572,226.10",$8.53,"26,092,081 RAD *"
280,Trust Wallet Token,TWT,"$225,269,099.04",$0.6493,"346,951,186 TWT *"
281,HyperDAO,HDAO,"$223,263,951.36",$0.06567,"3,400,000,000 HDAO *"
282,Throne,THN,"$223,340,141.24",$0.5749,"388,486,665 THN *"
283,Mines of Dalarnia,DAR,"$213,608,956.32",$1.73,"123,200,000 DAR *"
284,XSGD,XSGD,"$206,353,113.17",$0.7379,"279,633,372 XSGD *"
285,Orion Protocol,ORN,"$204,100,567.35",$4.96,"41,150,000 ORN *"
286,Circuits of Value,COVAL,"$203,454,105.37",$0.1139,"1,786,752,136 COVAL *"
287,Chrono.tech,TIME,"$198,351,157.73",$279.32,"710,112 TIME *"
288,Wilder World,WILD,"$199,367,874.19",$2.38,"83,683,300 WILD *"
289,Ontology Gas,ONG,"$196,053,263.96",$0.7259,"270,078,771 ONG *"
291,Mango,MNGO,"$193,377,597.22",$0.1934,"1,000,000,000 MNGO *"
292,inSure DeFi,SURE,"$193,139,048.41",$0.007209,"26,790,063,175 SURE *"
293,Star Atlas,ATLAS,"$190,839,984.31",$0.08835,"2,160,000,000 ATLAS *"
294,Tether Gold,XAUT,"$189,747,134.74","$1,797.71","105,549 XAUT *"
295,KardiaChain,KAI,"$187,783,969.47",$0.05978,"3,141,300,000 KAI *"
296,Band Protocol,BAND,"$187,159,182.75",$5.32,"35,191,821 BAND *"
297,Bifrost (BFC),BFC,"$186,544,130.02",$0.1767,"1,055,425,979 BFC *"
298,Prometeus,PROM,"$185,875,784.15",$11.30,"16,450,000 PROM *"
299,StormX,STMX,"$185,268,203.95",$0.01853,"10,000,000,000 STMX *"
300,Qredo,QRDO,"$183,994,324.43",$5.55,"33,159,931 QRDO *"
301,BioPassport Token,BIOT,"$182,138,259.08",$0.1038,"1,755,103,460 BIOT *"
302,Divi,DIVI,"$182,553,192.09",$0.06804,"2,683,066,718 DIVI"
303,Hxro,HXRO,"$181,568,612.08",$0.463,"392,181,334 HXRO *"
304,MX TOKEN,MX,"$181,253,442.35",$1.81,"100,000,000 MX *"
305,BakeryToken,BAKE,"$179,347,601.00",$0.9267,"193,529,486 BAKE *"
306,Augur,REP,"$179,077,100.95",$16.28,"11,000,000 REP *"
307,Seedify.fund,SFUND,"$178,958,198.18",$7.77,"23,044,661 SFUND *"
308,Pirate Chain,ARRR,"$177,809,881.73",$0.9386,"189,438,984 ARRR"
309,Stratis,STRAX,"$174,790,960.02",$1.32,"132,672,807 STRAX *"
310,Steem,STEEM,"$154,050,271.86",$0.39,"394,951,699 STEEM *"
311,Gemini Dollar,GUSD,"$172,250,633.36",$0.9985,"172,503,684 GUSD *"
312,Ribbon Finance,RBN,"$169,851,404.74",$3.32,"51,182,063 RBN *"
313,Orbs,ORBS,"$167,541,260.95",$0.07513,"2,229,950,518 ORBS *"
314,Venus,XVS,"$167,960,365.09",$14.12,"11,897,376 XVS *"
315,Bloomzed Loyalty Club Ticket,BLCT,"$166,809,999.27",$4.39,"38,000,000 BLCT *"
316,GXChain,GXC,"$167,279,030.27",$2.23,"75,000,000 GXC *"
317,Numeraire,NMR,"$165,416,901.46",$28.09,"5,888,504 NMR *"
318,Safe,SAFE,"$164,225,964.72",$7.88,"20,835,499 SAFE *"
319,Merit Circle,MC,"$163,251,199.89",$3.83,"42,592,000 MC *"
320,Gitcoin,GTC,"$161,240,013.27",$11.36,"14,198,202 GTC *"
321,SingularityNET,AGIX,"$160,924,999.74",$0.1842,"873,749,675 AGIX *"
322,Sologenic,SOLO,"$159,999,932.78",$0.8,"200,001,808 SOLO *"
323,CRYPTO20,C20,"$160,414,890.15",$4.01,"39,993,714 C20 *"
324,Utrust,UTK,"$160,536,383.75",$0.349,"460,000,000 UTK *"
325,e-Radix,EXRD,"$159,009,819.45",$0.2164,"734,834,633 EXRD *"
326,Wrapped NCG (Nine Chronicles Gold),WNCG,"$159,372,817.73",$1.33,"119,794,315 WNCG *"
327,MXC,MXC,"$156,825,490.57",$0.05936,"2,642,132,373 MXC *"
328,Sovryn,SOV,"$156,268,185.23",$7.72,"20,240,507 SOV *"
329,KILT Protocol,KILT,"$156,086,930.25",$3.16,"49,420,140 KILT *"
330,Alien Worlds,TLM,"$154,807,751.51",$0.1694,"914,030,370 TLM *"
331,Badger DAO,BADGER,"$153,428,543.08",$12.24,"12,539,084 BADGER *"
332,MaidSafeCoin,MAID,"$153,328,376.65",$0.3388,"452,552,412 MAID *"
333,Dawn Protocol,DAWN,"$153,453,815.85",$2.18,"70,498,404 DAWN *"
334,DeversiFi,DVF,"$153,883,813.89",$6.37,"24,147,148 DVF *"
336,Ark,ARK,"$153,047,734.85",$1.14,"134,330,659 ARK *"
337,Metadium,META,"$148,570,064.89",$0.08805,"1,687,369,624 META *"
338,Vectorspace AI,VXV,"$146,694,186.92",$3.77,"38,860,574 VXV *"
